plate,compound,well,site,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015090,CBK308923,K11,s4,0.030547839506172839996,86.02510577358557953,-1.0,20.0,-0.27314964849108369638,365.16413771800279164,-5.0,31.0,0.023394204389574759645,124.50638743434299727,-3.0,29.0,0.03192172496570644391,144.00787530932328195,-3.0,30.0,0.060953789437585732813,143.94613085997326607,-3.0,23.0
P015090,CBK308923,K11,s5,0.024663065843621399809,66.61705842356681728,-1.0,20.0,-0.61312992969821678013,378.51957370423917837,-4.0,28.0,0.028224236968449931129,105.3338009573399745,-2.0,28.0,0.03413473079561042678,99.01031582566034217,-2.0,29.0,0.06628943758573388467,172.56151062936788776,-3.0,22.0
P015090,CBK308923,K11,s6,0.024307913237311386256,50.549116547935796007,-1.0,19.0,-0.92000943072702334735,280.1975749755108609,-4.0,29.0,0.016687028463648834187,76.03458375577194772,-2.0,27.0,0.024024562757201644442,68.383621899613856954,-2.0,29.0,0.058448645404663920888,82.877112118580171796,-3.0,22.0
P015090,CBK308923,K11,s8,0.024194958847736626473,70.48691364361518197,-1.0,20.0,-1.4199860682441700632,418.43929333382743607,-5.0,31.0,0.019678926611796980495,116.431781092244662545,-3.0,29.0,0.02745970507544581718,126.473106842961627194,-3.0,30.0,0.056763545953360770857,195.82767224714362442,-3.0,23.0
P015090,CBK308923,K11,all,0.031207047325102880292,72.20910770639277132,-1.0,20.0,-1.1465721450617283317,378.74535722881643096,-5.0,30.0,0.028366769547325101919,112.68239115894047586,-3.0,29.0,0.03575115740740740511,115.08116001824750185,-3.0,30.0,0.068579775377229076905,155.1098590282082057,-3.0,23.0
P015090,CBK308923,M07,s2,0.032477709190672152118,104.411856754401298986,-2.0,21.0,-0.81953832304526752495,475.25412825200282896,-7.0,32.0,0.027215363511659807633,171.44805951821325607,-4.0,32.0,0.029913837448559670723,178.11098049259479126,-4.0,32.0,0.059466520919067213102,298.77258222186685543,-5.0,25.0
P015090,CBK308923,M07,s4,0.021523062414266116993,54.253030072218038526,-1.0,20.0,-1.4471527777777777324,294.39718977356704954,-4.0,29.0,0.027987397119341565072,80.40741157567863695,-2.0,28.0,0.031078532235939641815,76.761149749440861,-2.0,29.0,0.061230066872427983682,89.813639345392132896,-2.0,23.0
P015090,CBK308923,M07,s5,0.019654278120713304656,59.471799422250342104,-1.0,19.0,-0.22858153292181068728,270.89772669314817222,-3.0,26.0,0.019760159465020576963,93.548382344266414634,-1.0,27.0,0.021064814814814813992,99.04479121569377753,-1.0,28.0,0.040573988340192046476,103.63381052390751336,-2.0,21.0
P015090,CBK308923,M07,s6,0.018808727709190672245,64.638161827735999054,-1.0,20.0,-1.6622198645404664408,289.77537612015782997,-4.0,27.0,0.0063951045953360768567,90.80748748144320359,-2.0,28.0,0.005794967421124828412,86.1913101897347218,-2.0,29.0,0.03806884430727023455,95.253208742872629955,-3.0,22.0
P015090,CBK308923,M07,s8,0.025747599451303154056,65.79367441659262283,-1.0,20.0,-0.73573581104252405716,331.01125385185889627,-3.0,28.0,0.025983153292181069421,86.26621921759854672,-2.0,27.0,0.030453960905349793803,95.79472048981179455,-1.0,28.0,0.048328403635116597148,135.19433559680791745,-2.0,22.0
