plate,well,site,bf_site,nuclei_count
P015093,E15,s6,s4,199
P015093,E15,s8,s5,233
P015093,F08,s2,s1,98
P015093,F08,s4,s2,78
P015093,F08,s5,s3,83
P015093,F08,s6,s4,138
P015093,F08,s8,s5,132
P015093,F10,s2,s1,82
P015093,F10,s4,s2,83
P015093,F10,s5,s3,117
P015093,F10,s6,s4,111
P015093,F10,s8,s5,165
P015093,F13,s2,s1,135
P015093,F13,s4,s2,165
P015093,F13,s5,s3,144
P015093,F13,s6,s4,166
P015093,F13,s8,s5,278
P015093,F17,s2,s1,134
P015093,F17,s4,s2,208
P015093,F17,s5,s3,144
P015093,F17,s6,s4,133
P015093,F17,s8,s5,184
P015093,G16,s2,s1,213
P015093,G16,s4,s2,269
P015093,G16,s5,s3,237
P015093,G16,s6,s4,257
P015093,G16,s8,s5,257
P015093,G19,s2,s1,208
P015093,G19,s4,s2,304
P015093,G19,s5,s3,244
P015093,G19,s6,s4,197
P015093,G19,s8,s5,225
P015093,H06,s2,s1,48
P015093,H06,s4,s2,37
P015093,H06,s5,s3,58
P015093,H06,s6,s4,72
P015093,H06,s8,s5,42
P015093,H09,s2,s1,55
P015093,H09,s4,s2,68
P015093,H09,s5,s3,73
P015093,H09,s6,s4,100
P015093,H09,s8,s5,57
P015093,H19,s2,s1,171
P015093,H19,s4,s2,255
P015093,H19,s5,s3,214
P015093,H19,s6,s4,136
P015093,H19,s8,s5,192
P015093,I07,s2,s1,213
P015093,I07,s4,s2,189
P015093,I07,s5,s3,202
P015093,I07,s6,s4,208
P015093,I07,s8,s5,150
P015093,I15,s2,s1,225
P015093,I15,s4,s2,216
P015093,I15,s5,s3,164
P015093,I15,s6,s4,197
P015093,I15,s8,s5,148
P015093,I17,s2,s1,143
P015093,I17,s4,s2,305
P015093,I17,s5,s3,228
P015093,I17,s6,s4,188
P015093,I17,s8,s5,162
P015093,I21,s2,s1,154
P015093,I21,s4,s2,158
P015093,I21,s5,s3,78
P015093,I21,s6,s4,80
P015093,I21,s8,s5,85
P015093,J20,s2,s1,85
P015093,J20,s4,s2,130
P015093,J20,s5,s3,61
P015093,J20,s6,s4,46
P015093,J20,s8,s5,58
P015093,J22,s2,s1,131
P015093,J22,s4,s2,172
P015093,J22,s5,s3,96
P015093,J22,s6,s4,70
P015093,J22,s8,s5,112
P015093,K07,s2,s1,211
P015093,K07,s4,s2,106
P015093,K07,s5,s3,135
P015093,K07,s6,s4,167
P015093,K07,s8,s5,106
P015093,K11,s2,s1,56
P015093,K11,s4,s2,60
P015093,K11,s5,s3,84
P015093,K11,s6,s4,75
P015093,K11,s8,s5,55
P015093,L16,s2,s1,152
P015093,L16,s4,s2,108
P015093,L16,s5,s3,72
P015093,L16,s6,s4,103
P015093,L16,s8,s5,107
P015093,L20,s2,s1,175
P015093,L20,s4,s2,130
P015093,L20,s5,s3,160
P015093,L20,s6,s4,115
P015093,L20,s8,s5,84
P015093,M13,s2,s1,207
P015093,M13,s4,s2,132
P015093,M13,s5,s3,119
P015093,M13,s6,s4,126
P015093,M13,s8,s5,103
P015093,N06,s2,s1,181
P015093,N06,s4,s2,79
P015093,N06,s5,s3,120
P015093,N06,s6,s4,161
P015093,N06,s8,s5,104
P015093,O15,s2,s1,123
P015093,O15,s4,s2,57
P015093,O15,s5,s3,66
P015093,O15,s6,s4,55
P015093,O15,s8,s5,63
P015093,O21,s2,s1,78
P015093,O21,s4,s2,55
P015093,O21,s5,s3,46
P015093,O21,s6,s4,30
P015093,O21,s8,s5,21
P015093,C20,s2,s1,112
P015093,C20,s4,s2,196
P015093,C20,s5,s3,131
P015093,C20,s6,s4,83
P015093,C20,s8,s5,234
P015093,D23,s2,s1,76
P015093,D23,s4,s2,231
P015093,D23,s5,s3,113
P015093,D23,s6,s4,84
P015093,D23,s8,s5,118
P015093,J10,s2,s1,182
P015093,J10,s4,s2,103
P015093,J10,s5,s3,125
P015093,J10,s6,s4,123
P015093,J10,s8,s5,87
P015093,M04,s2,s1,213
P015093,M04,s4,s2,146
P015093,M04,s5,s3,165
P015093,M04,s6,s4,213
P015093,M04,s8,s5,66
P015093,N11,s2,s1,114
P015093,N11,s4,s2,103
P015093,N11,s5,s3,95
P015093,N11,s6,s4,76
P015093,N11,s8,s5,106
P015093,B19,s2,s1,67
P015093,B19,s4,s2,93
P015093,B19,s5,s3,55
