plate,compound,well,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015099,CBK011613,all,302.8441498215465,292.36595539085346,212.0,26.0,1152.6932167114387,1080.9847017140441,793.0,181.0,1979.8779473720977,1114.4063151512114,1627.0,552.0,1394.375196806889,1095.884624236469,1013.0,298.0,712.2612728782452,851.1723130897867,380.0,129.0
P015099,CBK016139,D05,254.72015870294163,500.23975306334177,201.0,20.0,879.4354627248133,910.8921389112783,697.0,68.0,1115.8700357700807,946.239122556319,871.0,68.0,753.1662335676726,799.1274921097672,564.0,50.0,365.7519024110273,545.6257938029114,234.0,26.0
P015099,CBK016139,E19,228.1881352642509,193.70715824065854,197.0,20.0,998.1080877533913,962.5600444623608,781.0,81.0,1265.3708694844536,950.3378806749345,992.0,82.0,825.4581664618579,754.5823570467742,633.0,59.0,410.8754757992303,588.6776937475358,257.0,31.0
P015099,CBK016139,G06,233.6023143861454,196.48576442937764,202.0,20.0,967.19698766861,999.8339749550966,726.0,77.0,1214.8360295210334,980.9828590994523,927.0,78.0,818.3769366807651,820.4719658312449,602.0,57.0,414.41799320797134,560.4890253289001,263.0,32.0
P015099,CBK016139,all,238.83686945111265,330.03131382032507,200.0,20.0,948.2468460489382,959.7733349020422,734.0,80.0,1198.692311591856,961.3192521100581,929.0,86.0,799.0004455700986,792.5380670813927,600.0,60.0,397.0151238060763,565.6468980220512,251.0,31.0
P015099,CBK017131,E11,293.77467030559365,276.7731833106232,210.0,26.0,1093.7777298858787,810.6753977535997,818.0,152.0,1663.5291244189148,875.5543528420851,1473.0,536.0,1134.259686833181,827.6898305062253,838.0,244.0,682.0805627714906,709.4686534467761,416.0,160.0
P015099,CBK017131,F06,316.81523914990095,314.9057407019846,217.0,28.0,1296.8148973098614,1301.9524832483926,866.0,208.0,2934.8173484415483,1546.0645511356497,2648.0,911.0,2111.0357048515853,1513.1122629987815,1594.0,524.0,869.7555387660036,814.4217095398145,552.0,200.0
P015099,CBK017131,O05,293.0758834638394,269.3051364345878,212.0,26.0,1091.089595145557,863.0947637487624,773.0,159.0,1679.0388127524386,940.5765170521981,1357.0,472.0,1149.4642094621627,847.4578659317833,791.0,214.0,696.166655545077,734.3204733842283,387.0,139.0
P015099,CBK017131,all,301.22193097311134,287.9000104656609,213.0,26.0,1160.5607407804323,1020.630335652379,818.0,174.0,2092.461761870967,1304.614870634898,1791.0,792.0,1464.9198670489764,1199.8719533119072,1071.0,430.0,749.3342523608571,758.8821136291155,458.0,184.0
P015099,CBK041003,C23,277.4167918857644,256.39701458577554,203.0,24.0,1065.1966250857338,955.1852766000626,748.0,139.0,1495.268425949741,834.1358399712327,1038.0,229.0,978.8559244970279,705.6656908944339,673.0,145.0,622.2486117303002,715.4526486606036,322.0,93.0
P015099,CBK041003,H09,301.3631260240436,290.1266664005,213.0,26.0,1091.7558253315044,947.5402259656481,798.0,142.0,1717.5789183956333,931.5197832945214,1404.0,449.0,1174.1389143470888,864.5392207491143,829.0,208.0,664.2644972660418,730.9641411360134,382.0,128.0
P015099,CBK041003,I12,306.80287103718945,295.85593764301353,212.0,27.0,1137.1565211334018,849.7228340710009,850.0,155.0,1712.3117127962582,902.4167170748382,1528.0,552.0,1151.093252862559,829.548206719293,856.0,248.0,701.1398537761012,782.4955734164405,425.0,164.0
P015099,CBK041003,all,295.1942629823325,281.6217916607191,210.0,26.0,1098.0363238502134,919.218611559165,802.0,152.0,1641.7196857138774,896.2985861134453,1329.0,430.0,1101.3626972355587,807.5311705226522,787.0,208.0,662.5509875908144,744.2214519723242,375.0,129.0
P015099,CBK041184,E09,223.27343399919982,167.21064342614702,201.0,20.0,887.1922214363283,747.8643290385368,745.0,68.0,1096.0630448626353,825.6279693848118,897.0,67.0,744.6064104414343,721.9173852937685,584.0,51.0,362.8218594726414,523.310727043562,244.0,27.0
P015099,CBK041184,K17,223.4044751419372,187.02705382088965,196.0,19.0,1119.5718129381953,949.506937788372,923.0,81.0,1280.432572064091,1021.0358099865366,1016.0,80.0,858.8643810251867,847.7442411356366,657.0,58.0,393.8816922439415,690.6761631377409,239.0,27.0
P015099,CBK041184,O15,223.3268859786999,174.402662929718,199.0,20.0,1132.507705642242,1039.8096104660635,915.0,83.0,1053.2596723536808,830.009394652061,846.0,65.0,705.4568113187777,689.4608980648879,548.0,48.0,370.900816853376,559.8853014602447,240.0,27.0
P015099,CBK041184,all,223.3349317066123,176.4037184565334,199.0,20.0,1046.423913338922,927.3949665224205,868.0,103.0,1143.251763093469,902.2629310405852,916.0,91.0,769.6425342617995,758.9243466894447,595.0,63.0,375.868122856653,595.7848039787668,241.0,27.0
P015099,CBK041506,F23,279.9610771033379,260.154565515309,203.0,24.0,1171.3753503896128,989.5096270423727,846.0,164.0,1761.6517030797515,885.0508679789965,1473.0,437.0,1164.1987016318014,780.1145055661626,862.0,205.0,657.1824707790352,700.0370166346779,388.0,134.0
P015099,CBK041506,K07,308.0222991683813,294.3225317784974,214.0,27.0,1083.8267654035208,779.4424685269973,807.0,163.0,1878.836723894033,975.9892018540022,1730.0,671.0,1302.0709868446122,931.5648479467445,980.0,311.0,735.4510143270843,743.150995937769,463.0,192.0
P015099,CBK041506,M17,310.73082142584974,296.58686511548706,211.0,28.0,1444.6273187680995,999.3518980697762,1093.0,228.0,1864.9956741064625,945.2824800080306,1742.0,689.0,1248.4457762488569,846.4464180559033,980.0,327.0,776.8768720469441,783.5560006110944,501.0,225.0
P015099,CBK041506,all,299.571399232523,284.51738926201676,210.0,27.0,1233.2764781870776,940.9569993746894,929.0,222.0,1835.161367026749,937.662025363462,1669.0,608.0,1238.2384882417568,856.8399136696092,943.0,280.0,723.1701190510212,744.6866989874219,454.0,185.0
P015099,CBK041516,E17,280.2882794638775,525.149383070174,205.0,22.0,1052.600662032274,1020.7525303650204,755.0,116.0,1809.8401167409693,971.2892776451221,1396.0,259.0,1248.173845283684,970.107279944088,905.0,145.0,582.2494916218945,683.052813920274,322.0,78.0
P015099,CBK041516,G21,250.6611530492684,239.5185012637202,199.0,21.0,1110.017091525682,986.7506795772491,814.0,113.0,1412.784231943492,791.3555407550508,1067.0,160.0,927.824013060128,689.1093041558706,686.0,102.0,511.4755311213992,616.13509791504,289.0,59.0
P015099,CBK041516,J18,238.5403723708276,218.02642768912952,197.0,20.0,1077.5768712610502,969.186550765525,862.0,98.0,1331.6370956694864,813.1106255024057,1046.0,119.0,883.7114154902073,724.290855763556,674.0,80.0,438.82188774100746,544.610434177423,264.0,42.0
P015099,CBK041516,all,256.49660162799114,356.655311059565,200.0,21.0,1080.0648749396687,992.7391081428653,818.0,120.0,1518.0871481179825,887.2743775124355,1195.0,246.0,1019.9030912780064,820.5102635456138,765.0,149.0,510.8489701614337,619.9651759433926,289.0,60.0
P015099,CBK041585,E16,310.87076100727785,302.9163284092923,213.0,27.0,1108.7990105595566,833.7937812906785,823.0,165.0,1814.44881534827,920.3220645818867,1644.0,597.0,1216.7274359853682,827.4160040806868,932.0,273.0,732.4426247904283,745.8722589062862,458.0,189.0
P015099,CBK041585,H23,272.17664994855966,249.16516308295556,202.0,24.0,1142.861640303498,938.8568795861889,854.0,146.0,1571.4359079932556,859.0084148197934,1144.0,293.0,1027.821832228319,728.6749184486828,730.0,166.0,626.6043992912665,685.4283745938604,341.0,108.0
P015099,CBK041585,N02,288.367269614007,269.19102275551927,214.0,25.0,1013.4924015727404,834.4601986420339,740.0,139.0,1802.7579714649062,1032.1983311672357,1228.0,284.0,1271.524125061919,985.8838875535596,835.0,175.0,646.2526412703857,692.2625961495233,347.0,97.0
P015099,CBK041585,all,290.4715601899482,275.11248997264073,209.0,25.0,1088.3843508119317,872.1585235584212,813.0,160.0,1729.5475649354773,946.5531920532853,1352.0,418.0,1172.024464425202,860.2798687226565,831.0,213.0,668.4332217840268,709.8600372722132,377.0,128.0
P015099,CBK041678,F18,305.2877677516766,291.85571772848505,209.0,27.0,1159.9599394623533,992.2658280167345,859.0,171.0,1848.1036218516613,928.2336431116426,1711.0,646.0,1236.9608710562413,844.5091513996085,963.0,299.0,754.5649035493827,764.6134051682682,479.0,208.0
P015099,CBK041678,H06,301.7336590030102,283.9797327835689,214.0,27.0,1069.815223860692,915.5448500897307,772.0,158.0,1798.1627853033074,994.4526016664,1597.0,620.0,1215.3832356919677,900.541461320263,893.0,272.0,709.3709464544277,725.6888312703468,435.0,169.0
P015099,CBK041678,L13,284.3252302431032,268.76708321048187,210.0,25.0,1020.8086812223746,802.9718578798723,809.0,120.0,1644.7913354957323,847.5014675219313,1218.0,320.0,1088.52031973975,745.2020903753843,788.0,177.0,617.8228426735635,649.708050962312,348.0,106.0
P015099,CBK041678,all,297.1155523325967,281.846115207887,211.0,26.0,1083.5279481818066,908.7612897180347,815.0,153.0,1763.6859142169003,929.3839062283392,1561.0,564.0,1180.288142162653,835.1370312463084,881.0,249.0,693.9195642257913,717.1903057776294,424.0,162.0
P015099,CBK041720,F10,229.55589713363054,186.2831721102672,200.0,20.0,832.8398682794162,738.4259783701312,684.0,72.0,1181.7565523786388,802.3893272935238,946.0,79.0,796.9556841563787,702.8957730374054,614.0,57.0,389.0804030206904,533.338792177781,250.0,30.0
P015099,CBK041720,M03,242.50175752076666,217.32332155387502,205.0,21.0,812.9791641660951,857.1877810576517,605.0,74.0,1210.6823148862597,831.736498243871,916.0,87.0,824.5416246808794,762.5267626248319,595.0,63.0,442.8875906397653,610.0183658902174,266.0,36.0
P015099,CBK041720,O22,220.9467006506249,181.0681359657369,194.0,19.0,1213.5624649443682,897.9283780871577,1029.0,97.0,1087.6523766384698,767.7114787929759,880.0,74.0,709.6031760116598,619.8694171791694,561.0,53.0,361.11586114921505,520.1924360601048,236.0,28.0
P015099,CBK041720,all,231.0014517683407,195.748104158908,200.0,20.0,953.1271657966265,854.060152262486,743.0,177.0,1160.030414634456,802.760107417022,914.0,83.0,777.0334949496392,699.2730486613535,591.0,61.0,397.69461826989027,556.9642296795625,250.0,33.0
P015099,CBK041761,E10,244.57280878486512,219.72914907730035,203.0,21.0,1017.0317583781055,939.5228339580126,768.0,90.0,1247.1500088353528,774.0527450563314,964.0,105.0,859.2583551716583,731.0758554739599,633.0,76.0,450.437662775301,570.0514377790981,269.0,41.0
