plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5,mean_C6,std_C6,median_C6,mad_C6
P015085,CBK290052,10211.682,798.17395,10143.0,485.0,10213.956,789.6883,10144.0,478.0,10213.527,787.47784,10142.0,479.0,10214.873,789.34827,10141.0,481.0,10209.672,792.62177,10134.0,481.0,10210.348,791.6645,10134.0,481.0
P015085,CBK290334,10558.073,1301.6177,10552.0,995.0,10555.594,1296.0442,10548.0,991.0,10554.796,1292.9491,10546.0,988.0,10553.484,1294.3429,10544.0,990.0,10552.386,1296.649,10543.0,992.0,10551.346,1296.8431,10542.0,993.0
P015085,CBK290684,11251.489,1071.8206,11445.0,691.0,11250.566,1068.1433,11445.0,687.0,11250.074,1064.8943,11447.0,680.0,11251.102,1062.9734,11445.0,679.0,11248.526,1068.0331,11441.0,682.0,11247.718,1069.0645,11440.0,684.0
P015085,CBK290766,11765.366,1011.01715,11658.0,696.0,11765.837,1007.04846,11657.0,694.0,11762.367,1004.77765,11652.0,693.0,11763.374,1008.23987,11653.0,698.0,11760.406,1008.3475,11651.0,695.0,11759.741,1008.5594,11649.0,694.0
P015085,CBK290770,9786.878,1531.2733,10236.0,1075.0,9786.003,1530.5929,10237.0,1072.0,9784.987,1529.6519,10235.0,1071.0,9785.473,1527.1549,10233.0,1070.0,9784.347,1530.6884,10234.0,1071.0,9789.388,1536.9918,10236.0,1081.0
P015085,CBK290772,11265.343,1155.1143,10980.0,802.0,11266.332,1150.7584,10980.0,801.0,11263.857,1148.5568,10973.0,799.0,11262.836,1150.3438,10974.0,802.0,11261.662,1152.449,10974.0,804.0,11260.965,1152.9265,10973.0,804.0
P015085,CBK290801,11618.622,1359.017,11933.0,950.0,11615.597,1355.1669,11935.0,943.0,11613.598,1352.6221,11932.0,933.0,11614.98,1356.6304,11932.0,937.0,11612.014,1358.0457,11927.0,941.0,11610.97,1358.2023,11926.0,943.0
P015085,CBK290829,11881.504,885.45294,11946.0,646.0,11873.985,872.395,11940.0,634.0,11874.125,869.0175,11937.0,629.0,11869.582,869.4611,11932.0,626.0,11868.486,874.15076,11930.0,628.0,11867.741,875.1516,11930.0,630.0
P015085,CBK291084,11960.032,1848.1255,11182.0,812.0,11954.857,1838.2145,11176.0,806.0,11961.264,1842.2045,11172.0,806.0,11960.449,1850.2604,11171.0,807.0,11955.124,1846.6426,11172.0,811.0,11947.059,1835.95,11172.0,812.0
P015085,CBK293886,11383.195,2513.1628,10337.0,1212.0,11382.11,2510.7095,10329.0,1200.0,11381.195,2510.503,10326.0,1196.0,11380.989,2510.8267,10325.0,1197.0,11379.211,2512.674,10323.0,1200.0,11377.912,2512.6877,10322.0,1202.0
