plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015090,CBK277939,228.50615,149.45111,210.0,21.0,531.78265,864.4054,370.0,54.0,786.9172,313.12814,722.0,53.0,538.3738,314.21512,478.0,40.0,303.43762,336.35364,237.0,25.0
P015090,CBK277957,224.51086,153.86017,211.0,20.0,513.9634,969.2378,392.0,41.0,730.203,326.39453,689.0,48.0,507.70468,372.45596,460.0,36.0,274.90738,356.8082,228.0,22.0
P015090,CBK277961,259.95334,223.91379,217.0,23.0,727.5244,1102.5492,361.0,65.0,1077.7794,622.12555,813.0,95.0,726.5263,578.0564,527.0,68.0,444.42078,503.15274,271.0,44.0
P015090,CBK277968,279.5812,242.30006,219.0,25.0,814.0077,1093.4454,408.0,113.0,1210.0726,689.7182,866.0,157.0,844.94556,671.5496,575.0,107.0,542.7688,607.6883,301.0,69.0
P015090,CBK277973,218.46492,132.38596,206.0,20.0,643.8683,821.2675,393.0,96.0,741.2878,308.2061,693.0,72.0,512.20215,324.70386,464.0,49.0,299.4107,406.31406,236.0,29.0
P015090,CBK277990,226.73007,161.2053,211.0,21.0,486.93994,1004.5366,352.0,47.0,737.87427,419.29996,682.0,47.0,513.4045,403.11954,456.0,36.0,283.4004,380.67892,229.0,23.0
P015090,CBK278016,253.88866,218.02428,215.0,22.0,643.24097,1115.4384,335.0,49.0,982.5481,639.1697,755.0,76.0,678.7722,616.60596,495.0,55.0,445.9465,653.18726,256.0,34.0
P015090,CBK278021,231.60576,162.21152,212.0,21.0,512.9109,978.3879,334.0,47.0,802.77985,348.46948,732.0,54.0,552.38104,360.05774,485.0,41.0,324.4946,442.047,238.0,26.0
P015090,CBK278039,217.72902,101.22423,211.0,20.0,388.11353,745.9243,309.0,37.0,645.79895,236.62659,618.0,50.0,446.69415,233.38739,420.0,37.0,246.26434,176.43932,226.0,22.0
P015090,CBK278047,274.89517,243.73619,218.0,24.0,822.3842,1088.8828,419.0,90.0,1122.1082,641.12683,816.0,121.0,762.1361,577.8803,537.0,84.0,510.45856,579.4178,285.0,57.0
P015090,CBK278050,281.89108,248.86473,221.0,24.0,806.6074,1050.8518,401.0,103.0,1191.7244,662.9933,860.0,162.0,832.8512,646.9203,568.0,108.0,532.70306,582.20483,293.0,67.0
P015090,CBK278067,224.37764,128.41956,211.0,20.0,497.23636,1077.647,326.0,36.0,774.3851,367.29413,712.0,57.0,544.8124,374.8818,479.0,43.0,301.9178,445.4757,232.0,24.0
P015090,CBK278556G,285.4545,252.0736,222.0,25.0,830.3225,1158.4214,394.0,102.0,1225.7981,691.48267,902.0,197.0,870.57495,695.8989,597.0,122.0,540.93866,596.3999,300.0,77.0
P015090,CBK288302,290.9454,261.06516,222.0,25.0,806.63684,1121.777,386.0,114.0,1290.8824,753.43365,912.0,213.0,911.1141,726.23157,606.0,135.0,592.4227,641.7469,320.0,87.0
