plate,well,bf_site,fl_site,compound,grit,nuclei_count
P015084,E22,s5,s8,CBK308980,1.5164292941268376,90.0
P015084,H06,s1,s2,CBK308980,1.6610837260825593,76.0
P015084,H06,s2,s4,CBK308980,2.6434426499072834,77.0
P015084,H06,s4,s6,CBK308980,2.1413469178194835,114.0
P015084,H06,s5,s8,CBK308980,1.9466207286019444,109.0
P015084,J03,s1,s2,CBK308980,1.4370884265567792,40.0
P015084,J03,s2,s4,CBK308980,2.0307813560459085,29.0
P015084,J03,s3,s5,CBK308980,1.9008920111082688,43.0
P015084,J03,s4,s6,CBK308980,1.1859778322038663,113.0
P015084,J03,s5,s8,CBK308980,1.6882749594534234,45.0
P015084,F11,s1,s2,CBK309086,1.5551319495211289,122.0
P015084,F11,s2,s4,CBK309086,0.2545520297241468,137.0
P015084,F11,s3,s5,CBK309086,1.8991639897567532,158.0
P015084,F11,s5,s8,CBK309086,0.3812313184085951,180.0
P015084,J16,s1,s2,CBK309086,1.6828227002927998,155.0
P015084,J16,s2,s4,CBK309086,0.7747896590525205,127.0
P015084,J16,s3,s5,CBK309086,1.690538780571315,101.0
P015084,J16,s4,s6,CBK309086,1.1845680247732435,93.0
P015084,J16,s5,s8,CBK309086,1.4976977623575196,76.0
P015084,L19,s1,s2,CBK309086,1.852541489347053,119.0
P015084,L19,s2,s4,CBK309086,2.079795601247426,103.0
P015084,L19,s3,s5,CBK309086,1.6413411521490904,119.0
P015084,L19,s4,s6,CBK309086,1.6657635451104018,79.0
P015084,L19,s5,s8,CBK309086,2.119986654917961,82.0
P015084,H10,s2,s4,CBK200550,6.881307293360674,18.0
P015084,H10,s3,s5,CBK200550,5.910871951202767,15.0
P015084,H10,s4,s6,CBK200550,6.0388555458982776,17.0
P015084,M14,s1,s2,CBK200550,5.53686259516767,22.0
P015084,C16,s1,s2,CBK277972,4.518609400984759,35.0
P015084,C16,s2,s4,CBK277972,4.100887879882944,51.0
P015084,C16,s3,s5,CBK277972,4.43147578013242,24.0
P015084,C16,s4,s6,CBK277972,4.115354080411473,29.0
P015084,C16,s5,s8,CBK277972,4.204514465848929,38.0
P015084,I17,s1,s2,CBK277972,4.1747953018373165,62.0
P015084,I17,s2,s4,CBK277972,4.296035487367771,80.0
P015084,I17,s3,s5,CBK277972,4.626632572904251,74.0
P015084,I17,s4,s6,CBK277972,4.513671289697318,58.0
P015084,I17,s5,s8,CBK277972,4.691452765866447,76.0
P015084,M04,s1,s2,CBK277972,3.8814753581369823,33.0
P015084,M04,s2,s4,CBK277972,4.206537037530548,24.0
P015084,M04,s3,s5,CBK277972,4.250549357746877,35.0
P015084,M04,s4,s6,CBK277972,4.4802142038683685,43.0
P015084,M04,s5,s8,CBK277972,4.546693529428391,37.0
P015084,C07,s1,s2,CBK277955,4.544405170890507,42.0
P015084,C07,s2,s4,CBK277955,4.174268813827443,49.0
P015084,C07,s3,s5,CBK277955,4.6941674199220005,50.0
P015084,C07,s5,s8,CBK277955,4.599134840072754,64.0
P015084,F23,s1,s2,CBK277955,4.817423093276228,45.0
P015084,F23,s2,s4,CBK277955,4.77931824399346,64.0
P015084,F23,s3,s5,CBK277955,4.5703479137333005,47.0
P015084,F23,s4,s6,CBK277955,4.435622534076957,51.0
P015084,F23,s5,s8,CBK277955,4.53184807336679,39.0
P015084,H03,s1,s2,CBK277955,4.7534364120807755,39.0
P015084,H03,s2,s4,CBK277955,4.0409837081585405,48.0
P015084,H03,s3,s5,CBK277955,4.4868874515770365,55.0
P015084,H03,s4,s6,CBK277955,4.574552814811625,56.0
P015084,H03,s5,s8,CBK277955,4.243488411333988,44.0
P015084,D19,s1,s2,CBK288259,3.6420556379561835,28.0
P015084,D19,s2,s4,CBK288259,3.5494377317917203,57.0
P015084,D19,s3,s5,CBK288259,3.41854777244338,47.0
P015084,D19,s4,s6,CBK288259,3.463344779564157,39.0
P015084,D19,s5,s8,CBK288259,3.871966512933208,55.0
P015084,M09,s1,s2,CBK288259,3.3049335373385063,52.0
P015084,M09,s2,s4,CBK288259,3.3839933994919087,18.0
P015084,M09,s3,s5,CBK288259,3.3224055315143257,19.0
P015084,M09,s4,s6,CBK288259,3.5871438175495736,38.0
P015084,M09,s5,s8,CBK288259,4.091305420096706,21.0
P015084,O15,s1,s2,CBK288259,3.7250712991579418,21.0
P015084,O15,s2,s4,CBK288259,4.261586220245868,59.0
P015084,O15,s3,s5,CBK288259,3.8391498323404942,39.0
P015084,O15,s4,s6,CBK288259,3.3721307114558376,33.0
P015084,O15,s5,s8,CBK288259,3.4946944351456306,38.0
P015084,C13,s1,s2,CBK288285,4.005386555065658,38.0
P015084,C13,s2,s4,CBK288285,3.2153145407870456,24.0
P015084,C13,s3,s5,CBK288285,3.638273122783553,21.0
P015084,C13,s4,s6,CBK288285,3.7231359608176033,47.0
P015084,C13,s5,s8,CBK288285,3.7168334188739856,56.0
P015084,I12,s1,s2,CBK288285,4.448141153283034,29.0
P015084,I12,s2,s4,CBK288285,3.86218159846036,27.0
P015084,I12,s3,s5,CBK288285,3.4596982003062937,31.0
P015084,I12,s4,s6,CBK288285,3.3943729869593477,32.0
P015084,I12,s5,s8,CBK288285,4.103868111948207,32.0
P015084,J18,s1,s2,CBK288285,3.63464959273086,27.0
P015084,J18,s2,s4,CBK288285,3.975674552203955,37.0
